Catálogo de cód                          
Fecha inicio deFecha fin de    Versión     Revisión  
   3/27/2017                     2.0     
                                         
c_CodigoPostal   c_Estado    c_Municipio c_Localidad 
     52189          MEX          055     
     52190          MEX                  
     52191          MEX                  
     52192          MEX                  
     52193          MEX                  
     52194          MEX                  
     52195          MEX                  
     52196          MEX                  
     52197          MEX                  
     52198          MEX                  
     52199          MEX                  
     52200          MEX          018     
     52201          MEX                  
     52202          MEX                  
     52203          MEX          018     
     52204          MEX          018     
     52205          MEX          018     
     52206          MEX                  
     52207          MEX                  
     52208          MEX                  
     52209          MEX                  
     52210          MEX          018     
     52211          MEX                  
     52212          MEX                  
     52213          MEX          018     
     52214          MEX          018     
     52215          MEX          018     
     52216          MEX                  
     52217          MEX                  
     52218          MEX                  
     52219          MEX                  
     52220          MEX          018     
     52221          MEX                  
     52222          MEX                  
     52223          MEX          018     
     52224          MEX          018     
     52225          MEX          018     
     52226          MEX          018     
     52227          MEX          018     
     52228          MEX          018     
     52229          MEX                  
     52230          MEX          018     
     52231          MEX                  
     52232          MEX                  
     52233          MEX          018     
     52234          MEX          018     
     52235          MEX          018     
     52236          MEX          018     
     52237          MEX                  
     52238          MEX                  
     52239          MEX                  
     52240          MEX          027     
     52241          MEX                  
     52242          MEX                  
     52243          MEX          027     
     52244          MEX          027     
     52245          MEX                  
     52246          MEX                  
     52247          MEX                  
     52248          MEX                  
     52249          MEX                  
     52250          MEX          027     
     52251          MEX                  
     52252          MEX                  
     52253          MEX          027     
     52254          MEX          027     
     52255          MEX                  
     52256          MEX                  
     52257          MEX                  
     52258          MEX                  
     52259          MEX                  
     52260          MEX                  
     52261          MEX                  
     52262          MEX                  
     52263          MEX                  
     52264          MEX                  
     52265          MEX                  
     52266          MEX                  
     52267          MEX                  
     52268          MEX                  
     52269          MEX                  
     52270          MEX                  
     52271          MEX                  
     52272          MEX                  
     52273          MEX                  
     52274          MEX                  
     52275          MEX                  
     52276          MEX                  
     52277          MEX                  
     52278          MEX                  
     52279          MEX                  
     52280          MEX          073     
     52281          MEX                  
     52282          MEX          073     
     52283          MEX                  
     52284          MEX                  
     52285          MEX                  
     52286          MEX          073     
     52287          MEX                  
     52288          MEX                  
     52289          MEX                  
     52290          MEX          073     
     52291          MEX                  
     52292          MEX                  
     52293          MEX                  
     52294          MEX                  
