Catálogo de números de pe                                                                  
         Versión                Revisión                                                   
           1.0                     1                                                       
                                                                                           
        c_Aduana                Patente         Ejercicio        Cantidad       Fecha iniciFecha fin d
           24                     3204            2008            010861         1/1/2017  
           24                     3204            2009            009152         1/1/2017  
           24                     3204            2010            006032         1/1/2017  
           24                     3204            2011            007289         1/1/2017  
           24                     3204            2012            007691         1/1/2017  
           24                     3204            2013            010820         1/1/2017  
           24                     3204            2014            003460         1/1/2017  
           27                     3204            2009            002169         1/1/2017  
           27                     3204            2010            006017         1/1/2017  
           27                     3204            2011            005180         1/1/2017  
           27                     3204            2012            003415         1/1/2017  
           27                     3204            2013            004395         1/1/2017  
           52                     3204            2007            009359         1/1/2017  
           52                     3204            2008            800000         1/1/2017  
           52                     3204            2009            005510         1/1/2017  
           52                     3204            2010            005506         1/1/2017  
           52                     3204            2011            008749         1/1/2017  
           52                     3204            2012            003891         1/1/2017  
           52                     3204            2013            004484         1/1/2017  
           52                     3204            2014            001106         1/1/2017  
           80                     3204            2007            016288         1/1/2017  
           80                     3204            2008            006147         1/1/2017  
           80                     3204            2009            005618         1/1/2017  
           80                     3204            2010            005993         1/1/2017  
           80                     3204            2011            111111         1/1/2017  
           80                     3204            2012            008217         1/1/2017  
           80                     3204            2013            007073         1/1/2017  
           20                     3205            2007            002263         1/1/2017  
           20                     3205            2008            002229         1/1/2017  
           20                     3205            2009            002373         1/1/2017  
           20                     3205            2010            000861         1/1/2017  
           20                     3205            2011            000452         1/1/2017  
           20                     3205            2012            000577         1/1/2017  
           20                     3205            2013            000272         1/1/2017  
           20                     3205            2014            000312         1/1/2017  
           20                     3205            2015            000063         1/1/2017  
           20                     3205            2016            000004         1/1/2017  
           43                     3205            2007            000830         1/1/2017  
           43                     3205            2008            000758         1/1/2017  
           43                     3205            2009            000839         1/1/2017  
           43                     3205            2010            001312         1/1/2017  
           43                     3205            2011            001303         1/1/2017  
           43                     3205            2012            000939         1/1/2017  
           43                     3205            2013            000964         1/1/2017  
           43                     3205            2014            000611         1/1/2017  
           43                     3205            2015            000671         1/1/2017  
           43                     3205            2016            000948         1/1/2017  
           43                     3205            2017            999999         4/28/2017 
           47                     3205            2007            033059         1/1/2017  
           47                     3205            2008            080237         1/1/2017  
           47                     3205            2009            033170         1/1/2017  
           47                     3205            2010            209014         1/1/2017  
           47                     3205            2011            013558         1/1/2017  
           47                     3205            2012            013622         1/1/2017  
           47                     3205            2013            013269         1/1/2017  
           47                     3205            2014            037819         1/1/2017  
           47                     3205            2015            050022         1/1/2017  
           47                     3205            2016            010303         1/1/2017  
           47                     3205            2017            999999         4/28/2017 
           20                     3206            2008            000002         1/1/2017  
           20                     3206            2010            001790         1/1/2017  
           24                     3206            2008            000042         1/1/2017  
           24                     3206            2009            000002         1/1/2017  
           24                     3206            2010            000001         1/1/2017  
           47                     3206            2007            002042         1/1/2017  
           47                     3206            2008            001984         1/1/2017  
           47                     3206            2009            001735         1/1/2017  
           47                     3206            2010            001791         1/1/2017  
           80                     3206            2008            000245         1/1/2017  
           17                     3209            2007            003845         1/1/2017  
           24                     3209            2007            666666         1/1/2017  
           80                     3209            2007            000318         1/1/2017  
           16                     3210            2007            007904         1/1/2017  
           16                     3210            2008            004994         1/1/2017  
           16                     3210            2009            000820         1/1/2017  
           16                     3210            2010            005898         1/1/2017  
           16                     3210            2011            001780         1/1/2017  
           16                     3210            2012            000016         1/1/2017  
           16                     3210            2013            000012         1/1/2017  
           16                     3210            2014            000013         1/1/2017  
           16                     3210            2015            000014         1/1/2017  
           16                     3210            2016            000002         1/1/2017  
           43                     3210            2007            008764         1/1/2017  
           43                     3210            2008            003438         1/1/2017  
           43                     3210            2009            002011         1/1/2017  
           43                     3210            2010            001038         1/1/2017  
           43                     3210            2011            000330         1/1/2017  
           43                     3210            2012            000016         1/1/2017  
           43                     3210            2013            000014         1/1/2017  
           43                     3210            2014            000015         1/1/2017  
           43                     3210            2015            000034         1/1/2017  
           43                     3210            2017            999999         4/28/2017 
           47                     3210            2007            010881         1/1/2017  
           47                     3210            2008            008938         1/1/2017  
           47                     3210            2009            002421         1/1/2017  
           47                     3210            2010            003373         1/1/2017  
           47                     3210            2011            000783         1/1/2017  
           47                     3210            2012            004974         1/1/2017  
           47                     3210            2013            000014         1/1/2017  
           47                     3210            2014            000014         1/1/2017  
           47                     3210            2015            000017         1/1/2017  
           47                     3210            2016            000013         1/1/2017  
           47                     3210            2017            999999         4/28/2017 
           81                     3210            2007            005275         1/1/2017  
           81                     3210            2008            802162         1/1/2017  
           81                     3210            2009            001949         1/1/2017  
           81                     3210            2010            000570         1/1/2017  
           81                     3210            2011            000962         1/1/2017  
           81                     3210            2012            000017         1/1/2017  
           81                     3210            2013            002847         1/1/2017  
           81                     3210            2014            000012         1/1/2017  
           81                     3210            2015            000013         1/1/2017  
           81                     3210            2016            000012         1/1/2017  
           81                     3210            2017            999999         4/28/2017 
           28                     3211            2011            000595         1/1/2017  
           28                     3211            2012            000941         1/1/2017  
           17                     3212            2007            004925         1/1/2017  
           17                     3212            2008            008000         1/1/2017  
           17                     3212            2009            003500         1/1/2017  
           17                     3212            2010            002382         1/1/2017  
           17                     3212            2011            003056         1/1/2017  
           17                     3212            2012            003112         1/1/2017  
           17                     3212            2013            004004         1/1/2017  
           17                     3212            2014            003540         1/1/2017  
           17                     3212            2015            005320         1/1/2017  
           17                     3212            2016            007162         1/1/2017  
           17                     3212            2017            999999         4/28/2017 
           24                     3212            2007            004477         1/1/2017  
           24                     3212            2008            999999         1/1/2017  
           24                     3212            2009            333333         1/1/2017  
           24                     3212            2010            003993         1/1/2017  
           24                     3212            2011            004173         1/1/2017  
           24                     3212            2012            003858         1/1/2017  
           24                     3212            2013            004581         1/1/2017  
           24                     3212            2014            004523         1/1/2017  
           24                     3212            2015            005378         1/1/2017  
           24                     3212            2016            007272         1/1/2017  
           24                     3212            2017            999999         4/28/2017 
           43                     3212            2010            000068         1/1/2017  
           43                     3212            2011            000454         1/1/2017  
           43                     3212            2012            000426         1/1/2017  
           43                     3212            2013            000409         1/1/2017  
           43                     3212            2014            000509         1/1/2017  
           43                     3212            2015            000703         1/1/2017  
           43                     3212            2016            000532         1/1/2017  
           43                     3212            2017            999999         4/28/2017 
           80                     3212            2007            000050         1/1/2017  
           80                     3212            2008            000022         1/1/2017  
           80                     3212            2009            000011         1/1/2017  
           80                     3212            2010            000084         1/1/2017  
           80                     3212            2011            000230         1/1/2017  
           80                     3212            2012            000141         1/1/2017  
           80                     3212            2013            000229         1/1/2017  
           80                     3212            2014            001040         1/1/2017  
           80                     3212            2015            000235         1/1/2017  
           80                     3212            2016            000270         1/1/2017  
           80                     3212            2017            999999         4/28/2017 
           16                     3215            2014            000202         1/1/2017  
           16                     3215            2015            000135         1/1/2017  
           16                     3215            2016            000186         1/1/2017  
           16                     3215            2017            999999         4/28/2017 
           24                     3215            2007            015646         1/1/2017  
           24                     3215            2008            011273         1/1/2017  
           24                     3215            2009            008143         1/1/2017  
           24                     3215            2010            008910         1/1/2017  
           24                     3215            2011            008673         1/1/2017  
           24                     3215            2012            009193         1/1/2017  
           24                     3215            2013            008632         1/1/2017  
           24                     3215            2014            009495         1/1/2017  
           24                     3215            2015            008734         1/1/2017  
           24                     3215            2016            008210         1/1/2017  
           24                     3215            2017            999999         4/28/2017 
           27                     3215            2007            009890         1/1/2017  
           27                     3215            2008            009141         1/1/2017  
           27                     3215            2009            009090         1/1/2017  
           27                     3215            2010            005460         1/1/2017  
           27                     3215            2011            107736         1/1/2017  
           27                     3215            2012            011733         1/1/2017  
           27                     3215            2013            014161         1/1/2017  
           27                     3215            2014            104686         1/1/2017  
           27                     3215            2015            047646         1/1/2017  
           27                     3215            2016            049409         1/1/2017  
           27                     3215            2017            999999         4/28/2017 
           47                     3215            2007            001888         1/1/2017  
           47                     3215            2008            001319         1/1/2017  
           47                     3215            2009            000736         1/1/2017  
           47                     3215            2010            900024         1/1/2017  
           47                     3215            2011            000684         1/1/2017  
           47                     3215            2012            001047         1/1/2017  
           47                     3215            2013            002043         1/1/2017  
           47                     3215            2014            002321         1/1/2017  
           47                     3215            2015            000631         1/1/2017  
           80                     3215            2007            013085         1/1/2017  
           80                     3215            2008            003189         1/1/2017  
           80                     3215            2009            000026         1/1/2017  
           80                     3215            2010            003276         1/1/2017  
           80                     3215            2011            003310         1/1/2017  
           80                     3215            2012            003349         1/1/2017  
           80                     3215            2013            001168         1/1/2017  
           80                     3215            2015            000112         1/1/2017  
           80                     3215            2016            000108         1/1/2017  
           80                     3215            2017            999999         4/28/2017 
           30                     3216            2012            000003         1/1/2017  
           30                     3216            2013            001426         1/1/2017  
           30                     3216            2014            001301         1/1/2017  
           30                     3216            2015            006670         1/1/2017  
           30                     3216            2016            003937         1/1/2017  
           30                     3216            2017            999999         4/28/2017 
           34                     3216            2011            000026         1/1/2017  
           34                     3216            2012            000130         1/1/2017  
           34                     3216            2013            000137         1/1/2017  
           34                     3216            2014            000149         1/1/2017  
           34                     3216            2015            000124         1/1/2017  
           34                     3216            2016            000148         1/1/2017  
           34                     3216            2017            999999         4/28/2017 
           82                     3216            2011            000010         1/1/2017  
           82                     3216            2012            000727         1/1/2017  
           82                     3216            2013            001023         1/1/2017  
           82                     3216            2014            001475         1/1/2017  
           82                     3216            2015            001514         1/1/2017  
           82                     3216            2016            003280         1/1/2017  
           82                     3216            2017            999999         4/28/2017 
           20                     3218            2007            000595         1/1/2017  
           20                     3218            2008            000447         1/1/2017  
           20                     3218            2009            000453         1/1/2017  
           20                     3218            2010            000535         1/1/2017  
           20                     3218            2011            000314         1/1/2017  
           20                     3218            2012            000181         1/1/2017  
           20                     3218            2013            000342         1/1/2017  
           20                     3218            2014            000234         1/1/2017  
           20                     3218            2015            000304         1/1/2017  
           20                     3218            2016            000022         1/1/2017  
           24                     3218            2007            002826         1/1/2017  
           24                     3218            2008            002232         1/1/2017  
           24                     3218            2009            003418         1/1/2017  
           24                     3218            2010            003548         1/1/2017  
           24                     3218            2011            003125         1/1/2017  
           24                     3218            2012            001726         1/1/2017  
           24                     3218            2013            003105         1/1/2017  
           24                     3218            2014            033333         1/1/2017  
           24                     3218            2015            002929         1/1/2017  
           24                     3218            2016            000148         1/1/2017  
           47                     3218            2007            000502         1/1/2017  
           47                     3218            2008            000543         1/1/2017  
           47                     3218            2009            001134         1/1/2017  
           47                     3218            2010            001471         1/1/2017  
           47                     3218            2011            001132         1/1/2017  
           47                     3218            2012            000958         1/1/2017  
           47                     3218            2013            001024         1/1/2017  
           47                     3218            2014            001068         1/1/2017  
           47                     3218            2015            000953         1/1/2017  
           47                     3218            2016            000108         1/1/2017  
           80                     3218            2007            000619         1/1/2017  
           80                     3218            2008            000053         1/1/2017  
           80                     3218            2009            000103         1/1/2017  
           80                     3218            2010            000376         1/1/2017  
           80                     3218            2011            001227         1/1/2017  
           80                     3218            2012            000303         1/1/2017  
           80                     3218            2013            000792         1/1/2017  
           80                     3218            2014            000087         1/1/2017  
           80                     3218            2015            000080         1/1/2017  
           30                     3220            2007            000833         1/1/2017  
           30                     3220            2008            000224         1/1/2017  
           37                     3220            2007            014644         1/1/2017  
           37                     3220            2008            014980         1/1/2017  
           37                     3220            2009            093758         1/1/2017  
           37                     3220            2010            018319         1/1/2017  
           37                     3220            2011            100304         1/1/2017  
           37                     3220            2012            023484         1/1/2017  
           37                     3220            2013            017974         1/1/2017  
           37                     3220            2014            017015         1/1/2017  
           37                     3220            2015            017022         1/1/2017  
           37                     3220            2016            017170         1/1/2017  
           37                     3220            2017            999999         4/28/2017 
           18                     3223            2015            000070         1/1/2017  
           18                     3223            2016            000382         1/1/2017  
           18                     3223            2017            999999         4/28/2017 
           38                     3223            2007            000028         1/1/2017  
           38                     3223            2008            000184         1/1/2017  
           38                     3223            2009            000081         1/1/2017  
           38                     3223            2010            000197         1/1/2017  
           38                     3223            2011            000088         1/1/2017  
           38                     3223            2012            000056         1/1/2017  
           38                     3223            2013            000090         1/1/2017  
           38                     3223            2014            000038         1/1/2017  
           38                     3223            2015            000020         1/1/2017  
           47                     3223            2007            001021         1/1/2017  
           47                     3223            2008            800180         1/1/2017  
           47                     3223            2009            000703         1/1/2017  
           47                     3223            2010            000636         1/1/2017  
           47                     3223            2011            000498         1/1/2017  
           47                     3223            2012            000631         1/1/2017  
           47                     3223            2013            000526         1/1/2017  
           47                     3223            2014            000437         1/1/2017  
           47                     3223            2015            000394         1/1/2017  
           47                     3223            2016            000291         1/1/2017  
           47                     3223            2017            999999         4/28/2017 
           81                     3223            2008            000060         1/1/2017  
           81                     3223            2009            000124         1/1/2017  
           81                     3223            2010            000272         1/1/2017  
           81                     3223            2011            000203         1/1/2017  
           81                     3223            2012            000210         1/1/2017  
           81                     3223            2013            000267         1/1/2017  
           81                     3223            2014            000297         1/1/2017  
           81                     3223            2015            000380         1/1/2017  
           81                     3223            2016            000364         1/1/2017  
           81                     3223            2017            999999         4/28/2017 
           07                     3224            2007            004301         1/1/2017  
           07                     3224            2008            003612         1/1/2017  
           07                     3224            2009            002062         1/1/2017  
           07                     3224            2010            002041         1/1/2017  
           16                     3224            2007            000854         1/1/2017  
           16                     3224            2008            000769         1/1/2017  
           16                     3224            2009            000229         1/1/2017  
           16                     3224            2010            000182         1/1/2017  
           16                     3224            2011            000014         1/1/2017  
           20                     3224            2007            530026         1/1/2017  
           20                     3224            2008            000291         1/1/2017  
           20                     3224            2009            000080         1/1/2017  
           20                     3224            2010            000212         1/1/2017  
           20                     3224            2011            100506         1/1/2017  
           20                     3224            2012            001891         1/1/2017  
           20                     3224            2013            001007         1/1/2017  
           20                     3224            2014            000214         1/1/2017  
           20                     3224            2015            000563         1/1/2017  
           20                     3224            2016            000053         1/1/2017  
           20                     3224            2017            999999         4/28/2017 
           47                     3224            2007            001437         1/1/2017  
           47                     3224            2008            001142         1/1/2017  
           47                     3224            2009            000280         1/1/2017  
           47                     3224            2010            000430         1/1/2017  
           47                     3224            2011            000209         1/1/2017  
           47                     3224            2012            000110         1/1/2017  
           47                     3224            2013            000022         1/1/2017  
           47                     3224            2014            000017         1/1/2017  
           47                     3224            2015            000014         1/1/2017  
           47                     3224            2016            000024         1/1/2017  
           47                     3224            2017            999999         4/28/2017 
           48                     3224            2010            000009         1/1/2017  
           48                     3224            2011            000344         1/1/2017  
           48                     3224            2012            000268         1/1/2017  
           65                     3224            2012            000265         1/1/2017  
           65                     3224            2013            000022         1/1/2017  
           24                     3227            2007            225986         1/1/2017  
           24                     3227            2008            011306         1/1/2017  
           24                     3227            2009            002285         1/1/2017  
           24                     3227            2010            004182         1/1/2017  
           24                     3227            2011            026925         1/1/2017  
           24                     3227            2012            005000         1/1/2017  
           24                     3227            2013            005642         1/1/2017  
           24                     3227            2014            005141         1/1/2017  
           24                     3227            2015            004312         1/1/2017  
           24                     3227            2016            020392         1/1/2017  
           24                     3227            2017            999999         4/28/2017 
           47                     3227            2007            000868         1/1/2017  
           47                     3227            2008            000980         1/1/2017  
           47                     3227            2009            000917         1/1/2017  
           47                     3227            2010            000703         1/1/2017  
           47                     3227            2011            000748         1/1/2017  
           47                     3227            2012            000560         1/1/2017  
           47                     3227            2013            000742         1/1/2017  
           47                     3227            2014            000813         1/1/2017  
           47                     3227            2015            000789         1/1/2017  
           47                     3227            2016            000668         1/1/2017  
           47                     3227            2017            999999         4/28/2017 
           80                     3227            2007            000103         1/1/2017  
           80                     3227            2008            000027         1/1/2017  
           80                     3227            2009            001439         1/1/2017  
           80                     3227            2010            002799         1/1/2017  
           80                     3227            2011            001279         1/1/2017  
           80                     3227            2012            002022         1/1/2017  
           80                     3227            2013            001488         1/1/2017  
           80                     3227            2014            003875         1/1/2017  
           80                     3227            2015            000261         1/1/2017  
           80                     3227            2016            004356         1/1/2017  
           80                     3227            2017            999999         4/28/2017 
           24                     3229            2007            000683         1/1/2017  
           24                     3229            2008            000584         1/1/2017  
           24                     3229            2009            000496         1/1/2017  
           24                     3229            2010            000716         1/1/2017  
           24                     3229            2011            000563         1/1/2017  
           24                     3229            2012            000922         1/1/2017  
           24                     3229            2013            000979         1/1/2017  
           24                     3229            2014            000808         1/1/2017  
           27                     3229            2007            001112         1/1/2017  
           27                     3229            2008            025159         1/1/2017  
           27                     3229            2009            007820         1/1/2017  
           27                     3229            2010            011222         1/1/2017  
           27                     3229            2011            011002         1/1/2017  
           27                     3229            2012            001307         1/1/2017  
           27                     3229            2013            001333         1/1/2017  
           27                     3229            2014            000845         1/1/2017  
           43                     3229            2012            000896         1/1/2017  
           43                     3229            2013            030550         1/1/2017  
           43                     3229            2014            212565         1/1/2017  
           80                     3229            2007            000237         1/1/2017  
           80                     3229            2008            000361         1/1/2017  
           80                     3229            2009            001484         1/1/2017  
           80                     3229            2010            001465         1/1/2017  
           80                     3229            2011            100012         1/1/2017  
           80                     3229            2012            004410         1/1/2017  
           80                     3229            2013            002065         1/1/2017  
           80                     3229            2014            001450         1/1/2017  
           16                     3230            2007            005102         1/1/2017  
           16                     3230            2008            800549         1/1/2017  
           16                     3230            2009            900258         1/1/2017  
           16                     3230            2010            005153         1/1/2017  
           16                     3230            2011            100518         1/1/2017  
           16                     3230            2012            201870         1/1/2017  
           16                     3230            2013            300960         1/1/2017  
           16                     3230            2014            400848         1/1/2017  
           16                     3230            2015            001226         1/1/2017  
           20                     3230            2007            000862         1/1/2017  
           20                     3230            2008            800499         1/1/2017  
           20                     3230            2009            001747         1/1/2017  
           20                     3230            2010            001546         1/1/2017  
           20                     3230            2011            000925         1/1/2017  
           20                     3230            2012            201997         1/1/2017  
           20                     3230            2013            300955         1/1/2017  
           20                     3230            2014            400154         1/1/2017  
           20                     3230            2015            500148         1/1/2017  
           43                     3230            2007            000451         1/1/2017  
           43                     3230            2008            000548         1/1/2017  
           43                     3230            2009            000773         1/1/2017  
           43                     3230            2010            000520         1/1/2017  
           43                     3230            2011            000079         1/1/2017  
           51                     3230            2008            000310         1/1/2017  
           51                     3230            2009            900582         1/1/2017  
           51                     3230            2010            000868         1/1/2017  
           51                     3230            2011            100726         1/1/2017  
           51                     3230            2012            001433         1/1/2017  
           51                     3230            2013            001353         1/1/2017  
           51                     3230            2014            002187         1/1/2017  
           51                     3230            2015            500127         1/1/2017  
           65                     3230            2012            200041         1/1/2017  
           65                     3230            2013            000182         1/1/2017  
           65                     3230            2014            400131         1/1/2017  
           65                     3230            2015            000095         1/1/2017  
           84                     3230            2008            000007         1/1/2017  
           24                     3232            2007            001000         1/1/2017  
           24                     3232            2008            005640         1/1/2017  
           24                     3232            2009            002695         1/1/2017  
           24                     3232            2010            001509         1/1/2017  
           24                     3232            2011            008881         1/1/2017  
           24                     3232            2012            010845         1/1/2017  
           24                     3232            2013            010015         1/1/2017  
           24                     3232            2014            008962         1/1/2017  
           27                     3232            2007            004602         1/1/2017  
           27                     3232            2008            003533         1/1/2017  
           27                     3232            2009            900001         1/1/2017  
           27                     3232            2010            002984         1/1/2017  
           27                     3232            2011            008604         1/1/2017  
           27                     3232            2012            008847         1/1/2017  
           27                     3232            2013            006280         1/1/2017  
           27                     3232            2014            003853         1/1/2017  
           27                     3232            2015            001336         1/1/2017  
           27                     3232            2016            003830         1/1/2017  
           27                     3232            2017            999999         4/28/2017 
           52                     3232            2007            002582         1/1/2017  
           52                     3232            2008            004484         1/1/2017  
           52                     3232            2009            003775         1/1/2017  
           52                     3232            2010            003438         1/1/2017  
           52                     3232            2011            003798         1/1/2017  
           52                     3232            2012            003675         1/1/2017  
           52                     3232            2013            002408         1/1/2017  
           52                     3232            2014            001838         1/1/2017  
           80                     3232            2007            070707         1/1/2017  
           80                     3232            2008            007739         1/1/2017  
           80                     3232            2009            220244         1/1/2017  
           80                     3232            2010            005212         1/1/2017  
           80                     3232            2011            106700         1/1/2017  
           80                     3232            2012            020113         1/1/2017  
           80                     3232            2013            011056         1/1/2017  
           80                     3232            2014            009142         1/1/2017  
           80                     3232            2015            000012         1/1/2017  
           24                     3233            2007            002275         1/1/2017  
           24                     3233            2008            001985         1/1/2017  
           24                     3233            2009            000900         1/1/2017  
           24                     3233            2010            000752         1/1/2017  
           24                     3233            2011            000673         1/1/2017  
           24                     3233            2012            000574         1/1/2017  
           24                     3233            2013            003797         1/1/2017  
           24                     3233            2014            000678         1/1/2017  
           47                     3233            2007            000378         1/1/2017  
           47                     3233            2008            000358         1/1/2017  
           47                     3233            2009            000238         1/1/2017  
           47                     3233            2010            000328         1/1/2017  
           47                     3233            2011            000384         1/1/2017  
           47                     3233            2012            000319         1/1/2017  
           47                     3233            2013            000358         1/1/2017  
