Catálogo de números de pe                                                                  
         Versión                Revisión                                                   
           1.0                     1                                                       
                                                                                           
        c_Aduana                Patente         Ejercicio        Cantidad       Fecha iniciFecha fin d
           43                     563             2012            200014         1/1/2017  
           43                     563             2013            002880         1/1/2017  
           43                     563             2014            136080         1/1/2017  
           43                     563             2015            002953         1/1/2017  
           43                     563             2016            602264         1/1/2017  
           16                     574             2007            002550         1/1/2017  
           16                     574             2008            001525         1/1/2017  
           43                     597             2007            002548         1/1/2017  
           43                     597             2008            002533         1/1/2017  
           43                     597             2009            002569         1/1/2017  
           43                     597             2010            002575         1/1/2017  
           43                     597             2011            100599         1/1/2017  
           43                     597             2012            002618         1/1/2017  
           43                     597             2013            002523         1/1/2017  
           30                     627             2007            999965         1/1/2017  
           30                     627             2009            000975         1/1/2017  
           30                     627             2010            007000         1/1/2017  
           30                     627             2011            015262         1/1/2017  
           30                     627             2012            019389         1/1/2017  
           30                     627             2013            061121         1/1/2017  
           30                     627             2014            007631         1/1/2017  
           30                     627             2016            000951         1/1/2017  
           30                     627             2017            999999         4/28/2017 
           48                     636             2007            000986         1/1/2017  
           48                     636             2008            000804         1/1/2017  
           43                     693             2007            000072         1/1/2017  
           43                     693             2008            800128         1/1/2017  
           43                     693             2009            000083         1/1/2017  
           14                     699             2015            000076         1/1/2017  
           18                     699             2007            000218         1/1/2017  
           18                     699             2008            000188         1/1/2017  
           18                     699             2009            999999         1/1/2017  
           18                     699             2010            000294         1/1/2017  
           18                     699             2011            000204         1/1/2017  
           18                     699             2012            000285         1/1/2017  
           18                     699             2013            000324         1/1/2017  
           18                     699             2014            000172         1/1/2017  
           18                     699             2015            000280         1/1/2017  
           18                     699             2016            000303         1/1/2017  
           18                     699             2017            999999         4/28/2017 
           23                     700             2007            004759         1/1/2017  
           23                     700             2008            004925         1/1/2017  
           23                     700             2009            005456         1/1/2017  
           23                     700             2010            005419         1/1/2017  
           23                     700             2011            005291         1/1/2017  
           23                     700             2012            005263         1/1/2017  
           23                     700             2013            005312         1/1/2017  
           23                     700             2014            005680         1/1/2017  
           23                     700             2015            005765         1/1/2017  
           23                     700             2016            001057         1/1/2017  
           05                     706             2014            006365         1/1/2017  
           05                     706             2015            006005         1/1/2017  
           05                     706             2016            005775         1/1/2017  
           05                     706             2017            999999         4/28/2017 
           06                     706             2015            000009         1/1/2017  
           06                     706             2016            000053         1/1/2017  
           28                     706             2007            002470         1/1/2017  
           28                     706             2008            010034         1/1/2017  
           28                     706             2009            001613         1/1/2017  
           28                     706             2010            001611         1/1/2017  
           28                     706             2011            001582         1/1/2017  
           28                     706             2012            001702         1/1/2017  
           28                     706             2013            001312         1/1/2017  
           28                     706             2014            001277         1/1/2017  
           28                     706             2015            001343         1/1/2017  
           28                     706             2016            001375         1/1/2017  
           28                     706             2017            999999         4/28/2017 
           53                     706             2012            000137         1/1/2017  
           53                     706             2013            000180         1/1/2017  
           53                     706             2014            000111         1/1/2017  
           53                     706             2015            000004         1/1/2017  
           53                     706             2016            000001         1/1/2017  
           43                     743             2007            000699         1/1/2017  
           43                     743             2008            000730         1/1/2017  
           43                     743             2009            000890         1/1/2017  
           43                     743             2010            000916         1/1/2017  
           43                     743             2011            001038         1/1/2017  
           43                     743             2012            000946         1/1/2017  
           43                     743             2013            000951         1/1/2017  
           43                     743             2014            001032         1/1/2017  
           43                     743             2015            001069         1/1/2017  
           43                     743             2016            001046         1/1/2017  
           43                     743             2017            999999         4/28/2017 
           43                     750             2007            000632         1/1/2017  
           43                     750             2008            000367         1/1/2017  
           43                     801             2007            000720         1/1/2017  
           43                     801             2008            000527         1/1/2017  
           43                     801             2009            000346         1/1/2017  
           43                     801             2010            000225         1/1/2017  
           43                     801             2011            000208         1/1/2017  
           43                     801             2012            000217         1/1/2017  
           43                     801             2013            000211         1/1/2017  
           43                     801             2014            000233         1/1/2017  
           43                     801             2015            000236         1/1/2017  
           43                     801             2016            000263         1/1/2017  
           43                     801             2017            999999         4/28/2017 
           17                     805             2007            010604         1/1/2017  
           17                     805             2008            906983         1/1/2017  
           17                     805             2009            009347         1/1/2017  
           17                     805             2010            009825         1/1/2017  
           17                     805             2011            007333         1/1/2017  
           17                     805             2012            004564         1/1/2017  
           17                     805             2013            033831         1/1/2017  
           17                     805             2014            005191         1/1/2017  
           17                     805             2015            004196         1/1/2017  
           17                     805             2016            602830         1/1/2017  
           17                     805             2017            999999         4/28/2017 
           43                     811             2007            001651         1/1/2017  
           43                     811             2008            001574         1/1/2017  
           43                     811             2009            900692         1/1/2017  
           43                     811             2010            000384         1/1/2017  
           43                     814             2007            001170         1/1/2017  
           43                     814             2008            000942         1/1/2017  
           43                     814             2009            000752         1/1/2017  
           43                     814             2010            000333         1/1/2017  
           43                     814             2011            000514         1/1/2017  
           43                     814             2012            000535         1/1/2017  
           43                     814             2013            000543         1/1/2017  
           43                     814             2014            000558         1/1/2017  
           43                     814             2015            000405         1/1/2017  
           43                     814             2016            600021         1/1/2017  
           43                     814             2017            999999         4/28/2017 
           43                     820             2007            002021         1/1/2017  
           43                     820             2008            002503         1/1/2017  
           43                     820             2009            000819         1/1/2017  
           07                     823             2007            001189         1/1/2017  
           07                     823             2008            001133         1/1/2017  
           07                     823             2009            000868         1/1/2017  
           07                     823             2010            000825         1/1/2017  
           07                     823             2011            000906         1/1/2017  
           07                     823             2012            000932         1/1/2017  
           07                     823             2013            000958         1/1/2017  
           07                     823             2014            000960         1/1/2017  
           07                     823             2015            002206         1/1/2017  
           07                     823             2016            001922         1/1/2017  
           07                     823             2017            999999         4/28/2017 
           07                     845             2007            243159         1/1/2017  
           07                     845             2008            902553         1/1/2017  
           07                     845             2009            999998         1/1/2017  
           07                     845             2010            030201         1/1/2017  
           17                     849             2007            025047         1/1/2017  
           17                     849             2008            030547         1/1/2017  
           17                     849             2009            056478         1/1/2017  
           17                     849             2010            024939         1/1/2017  
           17                     849             2011            021798         1/1/2017  
           17                     849             2012            023763         1/1/2017  
           17                     849             2013            025373         1/1/2017  
           17                     849             2014            026730         1/1/2017  
           17                     849             2015            026106         1/1/2017  
           17                     849             2016            029353         1/1/2017  
           17                     849             2017            999999         4/28/2017 
           23                     888             2007            003858         1/1/2017  
           23                     888             2008            003797         1/1/2017  
           23                     888             2009            002911         1/1/2017  
           23                     888             2010            002903         1/1/2017  
           23                     888             2011            000847         1/1/2017  
           23                     888             2012            001137         1/1/2017  
           23                     888             2013            002647         1/1/2017  
           23                     888             2014            002508         1/1/2017  
           23                     888             2015            005049         1/1/2017  
           23                     888             2016            000105         1/1/2017  
           19                     897             2007            015232         1/1/2017  
           19                     897             2008            019966         1/1/2017  
           19                     897             2009            020005         1/1/2017  
           07                     926             2012            006422         1/1/2017  
           07                     926             2013            075474         1/1/2017  
           07                     926             2014            078132         1/1/2017  
           07                     926             2015            018231         1/1/2017  
           19                     926             2013            010447         1/1/2017  
           19                     926             2014            011320         1/1/2017  
           19                     926             2015            002777         1/1/2017  
           24                     926             2014            004949         1/1/2017  
           24                     926             2015            001354         1/1/2017  
           33                     926             2014            003044         1/1/2017  
           33                     926             2015            000612         1/1/2017  
           53                     965             2007            001119         1/1/2017  
           53                     965             2008            880030         1/1/2017  
           53                     965             2009            000866         1/1/2017  
           53                     965             2010            001237         1/1/2017  
           53                     965             2011            100023         1/1/2017  
           53                     965             2012            001562         1/1/2017  
           53                     965             2013            214891         1/1/2017  
           53                     965             2014            008795         1/1/2017  
           53                     965             2015            896312         1/1/2017  
           53                     965             2016            001361         1/1/2017  
           53                     965             2017            999999         4/28/2017 
           43                     970             2007            001502         1/1/2017  
           43                     970             2008            800742         1/1/2017  
           43                     970             2009            000251         1/1/2017  
           07                     973             2007            004636         1/1/2017  
           07                     973             2008            007831         1/1/2017  
           07                     973             2009            802087         1/1/2017  
           07                     973             2010            008693         1/1/2017  
           07                     973             2011            010728         1/1/2017  
           07                     973             2012            010758         1/1/2017  
           07                     973             2013            101481         1/1/2017  
           07                     973             2014            009445         1/1/2017  
           07                     973             2015            008819         1/1/2017  
           07                     973             2016            007032         1/1/2017  
           07                     973             2017            999999         4/28/2017 
           51                     973             2016            020001         1/1/2017  
           84                     973             2016            000211         1/1/2017  
           84                     973             2017            999999         4/28/2017 
           24                     1027            2007            002487         1/1/2017  
           24                     1027            2008            888888         1/1/2017  
           24                     1027            2009            000695         1/1/2017  
           24                     1029            2007            055694         1/1/2017  
           24                     1029            2008            060050         1/1/2017  
           24                     1029            2009            999910         1/1/2017  
           24                     1029            2010            702286         1/1/2017  
           24                     1029            2011            001832         1/1/2017  
           24                     1029            2012            000053         1/1/2017  
           24                     1029            2013            050000         1/1/2017  
           24                     1029            2014            000349         1/1/2017  
           24                     1029            2015            000380         1/1/2017  
           24                     1029            2016            000668         1/1/2017  
           24                     1029            2017            999999         4/28/2017 
           16                     1031            2012            000208         1/1/2017  
           16                     1031            2013            000433         1/1/2017  
           16                     1031            2014            000307         1/1/2017  
           16                     1031            2015            000524         1/1/2017  
           16                     1031            2016            000380         1/1/2017  
           16                     1031            2017            999999         4/28/2017 
           30                     1031            2007            028326         1/1/2017  
           30                     1031            2008            045749         1/1/2017  
           30                     1031            2009            004555         1/1/2017  
           30                     1031            2010            005704         1/1/2017  
           30                     1031            2011            005252         1/1/2017  
           30                     1031            2012            004303         1/1/2017  
           30                     1031            2013            008946         1/1/2017  
           30                     1031            2014            004715         1/1/2017  
           30                     1031            2015            006148         1/1/2017  
           30                     1031            2016            009399         1/1/2017  
           30                     1031            2017            999999         4/28/2017 
           07                     1033            2007            011150         1/1/2017  
           07                     1033            2008            071401         1/1/2017  
           07                     1033            2009            002403         1/1/2017  
           07                     1033            2010            107407         1/1/2017  
           39                     1036            2012            000032         1/1/2017  
           39                     1036            2013            002309         1/1/2017  
           39                     1036            2014            001193         1/1/2017  
           39                     1036            2016            000029         1/1/2017  
           40                     1036            2007            024339         1/1/2017  
           40                     1036            2008            015331         1/1/2017  
           40                     1036            2009            005251         1/1/2017  
           40                     1036            2010            003169         1/1/2017  
           40                     1036            2011            004817         1/1/2017  
           40                     1036            2012            001484         1/1/2017  
           40                     1036            2013            000667         1/1/2017  
           40                     1036            2014            001783         1/1/2017  
           40                     1036            2015            008552         1/1/2017  
           40                     1036            2016            004997         1/1/2017  
           19                     1038            2014            000002         1/1/2017  
           19                     1038            2015            002300         1/1/2017  
           19                     1038            2016            001538         1/1/2017  
           25                     1038            2016            000001         1/1/2017  
           39                     1038            2015            006490         1/1/2017  
           39                     1038            2016            002665         1/1/2017  
           40                     1038            2007            009285         1/1/2017  
           40                     1038            2008            011279         1/1/2017  
           40                     1038            2009            004208         1/1/2017  
           40                     1038            2010            002570         1/1/2017  
           40                     1038            2011            005800         1/1/2017  
           40                     1038            2012            006998         1/1/2017  
           40                     1038            2013            010767         1/1/2017  
           40                     1038            2014            012151         1/1/2017  
           40                     1038            2015            027125         1/1/2017  
           40                     1038            2016            016920         1/1/2017  
           40                     1039            2007            005634         1/1/2017  
           40                     1039            2008            006383         1/1/2017  
           40                     1039            2009            002969         1/1/2017  
           40                     1039            2010            002037         1/1/2017  
           40                     1039            2011            003120         1/1/2017  
           40                     1039            2012            001921         1/1/2017  
           40                     1039            2013            002033         1/1/2017  
           40                     1039            2014            006527         1/1/2017  
           40                     1039            2015            018279         1/1/2017  
           40                     1039            2016            003125         1/1/2017  
           47                     1039            2016            000104         1/1/2017  
           11                     1040            2013            000111         1/1/2017  
           11                     1040            2014            000276         1/1/2017  
           11                     1040            2016            000051         1/1/2017  
           11                     1040            2017            999999         4/28/2017 
           19                     1040            2014            000018         1/1/2017  
           39                     1040            2013            000107         1/1/2017  
           39                     1040            2014            004583         1/1/2017  
           40                     1040            2007            014599         1/1/2017  
           40                     1040            2008            012560         1/1/2017  
           40                     1040            2009            005191         1/1/2017  
           40                     1040            2010            004069         1/1/2017  
           40                     1040            2011            007750         1/1/2017  
           40                     1040            2012            005289         1/1/2017  
           40                     1040            2013            006004         1/1/2017  
           40                     1040            2014            004995         1/1/2017  
           40                     1040            2016            000003         1/1/2017  
           40                     1040            2017            999999         4/28/2017 
           19                     1041            2008            001473         1/1/2017  
           19                     1041            2009            000196         1/1/2017  
           19                     1041            2010            027001         1/1/2017  
           19                     1041            2011            018528         1/1/2017  
           19                     1041            2012            023687         1/1/2017  
           19                     1041            2013            009296         1/1/2017  
           33                     1041            2008            002509         1/1/2017  
           33                     1041            2009            005434         1/1/2017  
           33                     1041            2010            014444         1/1/2017  
           33                     1041            2011            008753         1/1/2017  
           33                     1041            2012            007363         1/1/2017  
           33                     1041            2013            002984         1/1/2017  
           39                     1041            2010            000200         1/1/2017  
           39                     1041            2011            003135         1/1/2017  
           39                     1041            2012            004557         1/1/2017  
           39                     1041            2013            006707         1/1/2017  
           40                     1041            2010            000979         1/1/2017  
           40                     1041            2011            000001         1/1/2017  
           40                     1041            2013            000529         1/1/2017  
           19                     1042            2007            023078         1/1/2017  
           19                     1042            2008            011402         1/1/2017  
           19                     1042            2009            002680         1/1/2017  
           19                     1042            2010            002143         1/1/2017  
           33                     1042            2007            000165         1/1/2017  
           33                     1042            2008            000040         1/1/2017  
           33                     1042            2010            008062         1/1/2017  
           40                     1042            2010            001936         1/1/2017  
           47                     1051            2007            001471         1/1/2017  
           47                     1051            2008            001258         1/1/2017  
           47                     1051            2009            001253         1/1/2017  
           47                     1051            2010            001783         1/1/2017  
           47                     1051            2011            001713         1/1/2017  
           47                     1051            2012            001944         1/1/2017  
           47                     1051            2013            001516         1/1/2017  
           47                     1051            2014            001562         1/1/2017  
           47                     1051            2015            001600         1/1/2017  
           47                     1051            2016            999999         1/1/2017  
           47                     1051            2016            001607         1/1/2017  
